a,b,pearson,spearman,agreement,near_clone
technical.donchian,technical.trend_slope,0.2730615726352094,0.2731593805232231,0.6476190476190476,False
technical.macd,technical.structure,0.264482672948843,0.2644727519236755,0.5859649122807018,False
neural.lstm,technical.obv,-0.2568244338023028,-0.25682443380230263,0.39348370927318294,False
rule.signal_rolling,technical.bollinger,0.25521746691255603,0.25521746691255615,0.6295739348370928,False
pine.squeeze,technical.bollinger,-0.2544768271739581,-0.25447682717395775,0.3609022556390977,False
pine.wavetrend,technical.adx,-0.2533045015742368,-0.25318130072550404,0.2025062656641604,False
pine.mavilim,technical.macd,-0.25315179291901063,-0.2531517929190105,0.3794486215538847,False
pine.hl_ott,pine.mavilim,0.24522110312896844,0.24522110312896853,0.631578947368421,False
neural.vanilla_rnn,technical.obv,-0.2405307286426268,-0.24053072864262703,0.3634085213032581,False
neural.lstm,technical.macd,-0.2322671213835492,-0.23226712138354966,0.39097744360902253,False
neural.gru,technical.macd,-0.22850370598989883,-0.22850370598989866,0.3849624060150376,False
rule.signal_rolling,technical.rsi,-0.2267466316292173,-0.22674663162921743,0.3844611528822055,False
pine.leledc,technical.donchian,-0.22570064360573167,-0.2257992881455216,0.374937343358396,False
neural.vanilla_rnn,rule.turtle,0.2226756170789765,0.2226756170789765,0.6260651629072682,False
technical.adx,technical.macd,0.22118148552260103,0.2193377007972961,0.4055137844611529,False
technical.bollinger,technical.trend_slope,-0.22094948738108552,-0.2209494873810854,0.3774436090225564,False
rule.signal_rolling,technical.donchian,-0.2181005469486186,-0.21801348197911613,0.38847117794486213,False
neural.vanilla_rnn,technical.adx,-0.20462339173769098,-0.2054885215706218,0.22406015037593985,False
pine.wavetrend,technical.macd,0.20371916010181257,0.20371916010181235,0.58796992481203,False
pine.supertrend,technical.macd,0.2026371568722995,0.20263715687229997,0.6035087719298246,False
