candidate,horizon,symbol,cutoff_at,matured_at,call,directional_correct,realised_return
ht2.vwap_reversion,5w,EOSE,2025-01-16 00:00:00+00:00,2025-02-24 00:00:00+00:00,0.0,,-0.3084415041549857
ht2.vwap_reversion,1d,EOSE,2025-02-24 00:00:00+00:00,2025-02-25 00:00:00+00:00,0.0,,-0.03990611905168062
ht2.vwap_reversion,1w,EOSE,2025-02-24 00:00:00+00:00,2025-03-03 00:00:00+00:00,0.0,,-0.06455406549548304
ht2.vwap_reversion,5w,EOSE,2025-02-24 00:00:00+00:00,2025-03-31 00:00:00+00:00,0.0,,-0.1126761107282982
ht2.vwap_reversion,1d,EOSE,2025-03-31 00:00:00+00:00,2025-04-01 00:00:00+00:00,0.0,,0.06084662942669361
ht2.vwap_reversion,1w,EOSE,2025-03-31 00:00:00+00:00,2025-04-07 00:00:00+00:00,0.0,,-0.06349206649557282
ht2.vwap_reversion,5w,EOSE,2025-03-31 00:00:00+00:00,2025-05-06 00:00:00+00:00,0.0,,0.33333333333333326
ht2.vwap_reversion,1d,EOSE,2025-05-06 00:00:00+00:00,2025-05-07 00:00:00+00:00,0.0,,0.32341272356709005
ht2.vwap_reversion,1w,EOSE,2025-05-06 00:00:00+00:00,2025-05-13 00:00:00+00:00,0.0,,0.3492063972625006
ht2.vwap_reversion,5w,EOSE,2025-05-06 00:00:00+00:00,2025-06-11 00:00:00+00:00,0.0,,-0.2043650279299799
ht2.vwap_reversion,1d,EOSE,2025-06-11 00:00:00+00:00,2025-06-12 00:00:00+00:00,0.0,,0.03740638652584316
ht2.vwap_reversion,1w,EOSE,2025-06-11 00:00:00+00:00,2025-06-18 00:00:00+00:00,0.0,,0.14214455418701055
ht2.vwap_reversion,5w,EOSE,2025-06-11 00:00:00+00:00,2025-07-18 00:00:00+00:00,0.0,,0.4638402869108802
ht2.vwap_reversion,1d,EOSE,2025-07-18 00:00:00+00:00,2025-07-21 00:00:00+00:00,0.0,,0.022146527593762677
ht2.vwap_reversion,1w,EOSE,2025-07-18 00:00:00+00:00,2025-07-25 00:00:00+00:00,0.0,,0.08517887729948015
ht2.vwap_reversion,5w,EOSE,2025-07-18 00:00:00+00:00,2025-08-22 00:00:00+00:00,0.0,,0.07666103830927673
ht2.vwap_reversion,1d,EOSE,2025-08-22 00:00:00+00:00,2025-08-25 00:00:00+00:00,0.0,,-0.007911422369743293
ht2.vwap_reversion,1w,EOSE,2025-08-22 00:00:00+00:00,2025-08-29 00:00:00+00:00,0.0,,0.0917721373342284
ht2.vwap_reversion,5w,EOSE,2025-08-22 00:00:00+00:00,2025-09-29 00:00:00+00:00,0.0,,0.7674050273573991
ht2.vwap_reversion,1d,EOSE,2025-09-29 00:00:00+00:00,2025-09-30 00:00:00+00:00,0.0,,0.019695637021141632
ht2.vwap_reversion,1w,EOSE,2025-09-29 00:00:00+00:00,2025-10-06 00:00:00+00:00,0.0,,0.24082359552461252
ht2.vwap_reversion,5w,EOSE,2025-09-29 00:00:00+00:00,2025-11-03 00:00:00+00:00,0.0,,0.39838852093737764
ht2.vwap_reversion,1d,EOSE,2025-11-03 00:00:00+00:00,2025-11-04 00:00:00+00:00,0.0,,-0.0973111085291758
ht2.vwap_reversion,1w,EOSE,2025-11-03 00:00:00+00:00,2025-11-10 00:00:00+00:00,0.0,,0.22855318019554227
ht2.vwap_reversion,5w,EOSE,2025-11-03 00:00:00+00:00,2025-12-09 00:00:00+00:00,0.0,,-0.04289373119095663
ht2.vwap_reversion,1d,EOSE,2025-12-09 00:00:00+00:00,2025-12-10 00:00:00+00:00,0.0,,-0.010702331067118154
ht2.vwap_reversion,1w,EOSE,2025-12-09 00:00:00+00:00,2025-12-16 00:00:00+00:00,0.0,,-0.11036786886831262
ht2.vwap_reversion,5w,EOSE,2025-12-09 00:00:00+00:00,2026-01-15 00:00:00+00:00,0.0,,0.12909694823576956
ht2.vwap_reversion,1d,EOSE,2026-01-15 00:00:00+00:00,2026-01-16 00:00:00+00:00,0.0,,0.03376786910615959
ht2.vwap_reversion,1w,EOSE,2026-01-15 00:00:00+00:00,2026-01-23 00:00:00+00:00,0.0,,0.013625678970384136
ht2.vwap_reversion,5w,EOSE,2026-01-15 00:00:00+00:00,2026-02-23 00:00:00+00:00,0.0,,-0.3850710526949154
ht2.vwap_reversion,1d,EOSE,2026-02-23 00:00:00+00:00,2026-02-24 00:00:00+00:00,0.0,,0.10597296875411999
