Candidate,Label,Family,Horizon,Cells,Calls,Coverage,Independent cutoffs,Accuracy,CI low,CI high,Baseline accuracy,Advantage,Adv CI low,Adv CI high,p,BUY-SELL bp,Resolved,Reference,Family size,p Holm,Holm reject,Beats baseline,Verdict
neural.gru,GRU projection,neural,1d,1087,1087,1.0,53,0.5179392824287029,0.48822325133902694,0.5475289605311475,0.5455381784728611,-0.03544270195213591,-0.11449654904843581,0.044436514743118515,0.39306069393060694,21.586972184258094,True,False,81,1.0,False,False,REJECT
technical.donchian,Donchian position,technical,1d,1087,1086,0.9990800367985281,53,0.5211786372007366,0.4914450310900574,0.5507629374807883,0.5460405156537753,-0.03909673318204902,-0.1424487462223311,0.06741260045669388,0.47625237476252374,8.15063650691816,True,False,81,1.0,False,False,REJECT
pine.hl_ott,HL Optimized Trend Tracker,pine,1d,1087,1087,1.0,53,0.5206991720331187,0.49097973221103886,0.5502728199468546,0.5455381784728611,-0.039979970808518804,-0.1386343216531895,0.06404588069846466,0.44625537446255376,9.054872507017434,True,False,81,1.0,False,False,REJECT
technical.rsi,RSI 14,technical,1d,1087,1087,1.0,53,0.5197792088316467,0.4900608049307806,0.5493583004645399,0.5455381784728611,-0.04137599480093327,-0.15133188352527976,0.06550249699029431,0.46155384461553844,6.696240694924678,True,False,81,1.0,False,False,REJECT
neural.lstm,LSTM projection,neural,1d,1087,1087,1.0,53,0.49034038638454464,0.46070803143198996,0.520040777560993,0.5455381784728611,-0.04701760367059791,-0.10909270337264591,0.016098760072303948,0.14288571142885712,-24.260615494943096,True,False,81,1.0,False,False,REJECT
technical.structure,Market structure,technical,1d,1087,986,0.9070837166513339,53,0.5141987829614605,0.48300725389249827,0.5452801003670116,0.5517241379310345,-0.05328976133199511,-0.14013617535877163,0.04135596459702714,0.2555744425557444,-16.524734248879323,True,False,81,1.0,False,False,REJECT
technical.roc,20-bar return,technical,1d,1087,1083,0.9963201471941122,53,0.5041551246537396,0.47441501736642505,0.5338658581539818,0.5457063711911357,-0.05485226695645071,-0.1501505962590868,0.03872692115103925,0.2626737326267373,6.740904998650037,True,False,81,1.0,False,False,REJECT
technical.macd,MACD histogram,technical,1d,1087,1087,1.0,53,0.49402023919043236,0.46437152127680154,0.5237110747664735,0.5455381784728611,-0.06462233965105171,-0.16848505268316588,0.04301741634083712,0.23917608239176083,20.76158610646059,True,False,81,1.0,False,False,REJECT
rule.signal_rolling,Signal rolling,rule,1d,1087,1087,1.0,53,0.48298068077276907,0.45338585987824953,0.512695375014149,0.5455381784728611,-0.0673252151184883,-0.14351057747284163,0.008211294652845098,0.08089191080891911,-25.902267372002598,True,False,81,1.0,False,False,REJECT
rl.neuro_evolution__novelty_search,Neuro-evolution (novelty search),rl,1d,1037,1031,0.9942140790742526,53,0.48496605237633367,0.4545714302483658,0.5154722943177901,0.5586808923375364,-0.0709990384766949,-0.1761041844892391,0.03739220478296942,0.18968103189681032,25.48123905825019,True,False,81,1.0,False,False,REJECT
rl.neuro_evolution,Neuro-evolution,rl,1d,1037,1029,0.9922854387656702,53,0.4859086491739553,0.4554794923597315,0.5164426300644621,0.5607385811467445,-0.07602152010032144,-0.1613590419014947,0.008324636887344956,0.08099190080991901,0.11511900741521808,True,False,81,1.0,False,False,REJECT
rl.policy_gradient,Policy gradient,rl,1d,1037,1026,0.9893924783027965,53,0.48148148148148145,0.45103341598546126,0.5120677055850793,0.5584795321637427,-0.07633749897900842,-0.17064444988973287,0.017817732581883478,0.1156884311568843,6.040822144532591,True,False,81,1.0,False,False,REJECT
technical.bollinger,Bollinger reversion,technical,1d,1087,1087,1.0,53,0.46182152713891444,0.43237040852594566,0.4915415508272729,0.5455381784728611,-0.08213358831488446,-0.16066476762231477,-0.005629232675992377,0.0357964203579642,-18.468992183807078,True,False,81,1.0,False,False,REJECT
pine.vix_fix,Williams Vix Fix,pine,1d,1087,1087,1.0,53,0.45722171113155474,0.42780888509943704,0.4869358404409163,0.5455381784728611,-0.09457963556815074,-0.19893857847785243,0.0077475562788318795,0.074992500749925,4.283762264175924,True,False,81,1.0,False,False,REJECT
neural.vanilla_rnn,Vanilla RNN projection,neural,1d,1087,1087,1.0,53,0.44894204231830726,0.41960452294340667,0.4786391817337893,0.5455381784728611,-0.09787291051852166,-0.1956224985706117,-0.005928622922060168,0.042695730426957304,-19.4365834982936,True,False,81,1.0,False,False,REJECT
rl.evolution_strategy,Evolution strategy,rl,1d,1037,960,0.9257473481195757,53,0.4708333333333333,0.4394368530460013,0.5024623137880512,0.5645833333333333,-0.10356200031948058,-0.19069377273945295,-0.01575578360971913,0.0225977402259774,-16.98621816957499,True,False,81,1.0,False,False,REJECT
pine.wavetrend,WaveTrend,pine,1d,1087,1087,1.0,53,0.44710211591536336,0.4177824483749883,0.4767943627770615,0.5455381784728611,-0.10622891874327477,-0.22135723696593262,0.0011365789324156376,0.065993400659934,-20.61692897464499,True,False,81,1.0,False,False,REJECT
rule.turtle,Turtle,rule,1d,1087,1087,1.0,53,0.43882244710211593,0.40958815882576066,0.4684876314631318,0.5455381784728611,-0.10851846130353102,-0.1959304940001207,-0.020183079328382855,0.012698730126987301,-12.805435901136125,True,False,81,1.0,False,False,REJECT
pine.leledc,Leledc exhaustion levels,pine,1d,1087,1087,1.0,53,0.43054277828886844,0.401402162490353,0.4601726069353821,0.5455381784728611,-0.11385240545617904,-0.21742302744425387,-0.018290870293228838,0.022397760223977603,-16.475845618503083,True,False,81,1.0,False,False,REJECT
reference.incumbent,Ultimate consensus,reference,1w,1087,221,0.20331186752529898,53,0.5248868778280543,0.45918494568975055,0.5897383852241018,0.4841628959276018,0.054170410302485775,-0.07523285414794849,0.17823843216531887,0.42385761423857615,126.25386022029866,True,True,81,,False,False,REFERENCE
pine.supertrend,Supertrend,pine,1w,1087,1087,1.0,53,0.5344986200551978,0.5047756986859362,0.5639785549105529,0.49126034958601655,0.0378639790616821,-0.06111698965513562,0.1351014022209674,0.44865513448655137,60.96945096077998,True,False,81,1.0,False,False,REJECT
neural.lstm,LSTM projection,neural,1w,1087,1087,1.0,53,0.5114995400183993,0.48179497191267107,0.541123112619492,0.49126034958601655,0.025845381034060276,-0.03406049375153148,0.09962834885240535,0.45755424457554245,11.550117105809978,True,False,81,1.0,False,False,REJECT
technical.obv,Volume trend,technical,1w,1087,1087,1.0,53,0.5243790248390064,0.4946564450953956,0.5539298941127903,0.49126034958601655,0.025665704271118542,-0.0796382316070585,0.12623921300192828,0.6268373162683731,86.28168637417562,True,False,81,1.0,False,False,REJECT
pine.squeeze,Squeeze Momentum,pine,1w,1087,1087,1.0,53,0.5170193192272309,0.48730462498585086,0.5466141401217502,0.49126034958601655,0.020032210065023846,-0.06033552003096709,0.10363217757085681,0.6316368363163684,37.6665218981292,True,False,81,1.0,False,False,REJECT
pine.hl_ott,HL Optimized Trend Tracker,pine,1w,1087,1087,1.0,53,0.5179392824287029,0.48822325133902694,0.5475289605311475,0.49126034958601655,0.019471712318307896,-0.07604804786408557,0.11830557124035383,0.6930306969303069,36.46539289730145,True,False,81,1.0,False,False,REJECT
rule.moving_average_crossover,Moving average crossover,rule,1w,1087,1087,1.0,53,0.5188592456301748,0.48914197798056064,0.5484436806521868,0.49126034958601655,0.019217938200710966,-0.07437055868659638,0.11795116286502669,0.6938306169383062,71.37486271488625,True,False,81,1.0,False,False,REJECT
rl.policy_gradient,Policy gradient,rl,1w,1037,1026,0.9893924783027965,53,0.5097465886939572,0.47917799310250725,0.5402424692287874,0.5019493177387915,0.01281058564077432,-0.08663450543167525,0.11200002041983173,0.8023197680231977,4.348613725195925,True,False,81,1.0,False,False,REJECT
rl.neuro_evolution__novelty_search,Neuro-evolution (novelty search),rl,1w,1037,1031,0.9942140790742526,53,0.5033947623666344,0.47291870469879616,0.5338456155604592,0.504364694471387,0.012151411977628465,-0.09087072311997832,0.12593305196954643,0.8307169283071693,70.57281567079266,True,False,81,1.0,False,False,REJECT
rule.signal_rolling,Signal rolling,rule,1w,1087,1087,1.0,53,0.5068997240110396,0.4772063493406085,0.5365445013786894,0.49126034958601655,0.011700190703472087,-0.07432868693379358,0.1064411029905287,0.7975202479752025,34.714252383623204,True,False,81,1.0,False,False,REJECT
technical.macd,MACD histogram,technical,1w,1087,1087,1.0,53,0.5114995400183993,0.48179497191267107,0.541123112619492,0.49126034958601655,0.01157197191651663,-0.09790188182066765,0.11927972506028284,0.8417158284171583,95.59731134733785,True,False,81,1.0,False,False,REJECT
technical.bollinger,Bollinger reversion,technical,1w,1087,1087,1.0,53,0.49770009199632015,0.4680366130116036,0.5273797700819637,0.49126034958601655,0.011314504472830972,-0.09005860491709544,0.13140390515964753,0.8396160383961604,-40.322326989417675,True,False,81,1.0,False,False,REJECT
technical.trend_slope,EMA 50 slope,technical,1w,1087,1087,1.0,53,0.5059797608095676,0.47628892523352645,0.5356284787231984,0.49126034958601655,0.00901304738466346,-0.09025718778077267,0.10777796629129686,0.8623137686231377,85.66494286108124,True,False,81,1.0,False,False,REJECT
pine.mavilim,MavilimW,pine,1w,1087,1087,1.0,53,0.49678012879484823,0.4671201899211096,0.5264627464098847,0.49126034958601655,0.0024590981892048274,-0.09499332360283957,0.10329480599384207,0.9633036696330367,78.00660636175031,True,False,81,1.0,False,False,REJECT
technical.trend_ma,EMA 12/48 spread,technical,1w,1087,1087,1.0,53,0.5013799448022079,0.4717033063445765,0.5310468637992831,0.49126034958601655,0.0022863464126794742,-0.08770419831740586,0.09717880226145192,0.966003399660034,71.84954526636547,True,False,81,1.0,False,False,REJECT
rl.neuro_evolution,Neuro-evolution,rl,1w,1037,1029,0.9922854387656702,53,0.4975704567541302,0.46708621575741993,0.528072770867441,0.5043731778425656,0.0015983683353272622,-0.09521969696969695,0.1017072841143318,0.9761023897610239,-36.74411275423156,True,False,81,1.0,False,False,REJECT
